bag,mode,first_fbcca_command,first_fbcca_t_s,expected_fbcca_t_s,valid_expected_t_s,cmd_vel_t_s,correct_fbcca_to_valid_s,valid_to_cmd_vel_s,correct_fbcca_to_cmd_vel_s,first_eeg_to_cmd_vel_s,normal,exclusion_reason
left_03,all,left,3.920515789,3.920515789,4.31702103,4.37581495,0.3965052410000003,0.05879391999999939,0.4552991609999997,4.37581495,yes,included
left_04,all,left,4.175463617,4.175463617,4.576421417,4.589647516,0.4009577999999996,0.013226099000000602,0.4141838990000002,4.589647516,yes,included
left_01,single,left,4.234755061,4.234755061,4.603743481,4.677633063,0.36898842,0.07388958199999962,0.4428780019999996,4.677633063,yes,included
left_02,single,left,3.933952965,3.933952965,4.333195491,4.377921882,0.39924252599999965,0.0447263910000002,0.44396891699999985,4.377921882,yes,included
