key,label,relative_seconds,source,detail
first_eeg,First /eeg/frame received (t=0),0.0,rosbag record time,sequence=0; sample_rate=250 Hz
first_command,First /ssvep/command after t=0,0.354631851,rosbag record time,FBCCA=--; OUT=stop; valid=False; reason=warming_up; conf=0.000
quality,First /eeg/quality,1.02363641,rosbag record time,level=good; valid=True
window_ready,4-second window ready (1000th EEG sample),3.882722751,rosbag record time,required=1000 samples at 250 Hz
first_fbcca,First FBCCA candidate,3.978256948,rosbag record time,FBCCA=backward; OUT=stop; valid=False; reason=low_confidence; conf=0.207
expected_fbcca,FBCCA candidate = expected 'backward',3.978256948,rosbag record time,FBCCA=backward; OUT=stop; valid=False; reason=low_confidence; conf=0.207
expected_valid,Valid output = expected 'backward',4.384230434,rosbag record time,FBCCA=backward; OUT=backward; valid=True; reason=fbcca; conf=0.257
cmd_vel,/turtle1/cmd_vel reflects 'backward',4.412411652,rosbag record time,linear.x=-1.000; angular.z=0.000
pose,First /turtle1/pose after expected cmd_vel,4.426831044,rosbag record time,x=5.53; y=5.54; theta=0.00; v=1.000; w=0.000
