key,label,relative_seconds,source,detail
first_eeg,First /eeg/frame received (t=0),0.0,rosbag record time,sequence=0; sample_rate=250 Hz
first_command,First /ssvep/command after t=0,0.02990373,rosbag record time,FBCCA=--; OUT=stop; valid=False; reason=warming_up; conf=0.000
quality,First /eeg/quality,0.823099901,rosbag record time,level=good; valid=True
window_ready,4-second window ready (1000th EEG sample),3.880201102,rosbag record time,required=1000 samples at 250 Hz
first_fbcca,First FBCCA candidate,4.051458154,rosbag record time,FBCCA=left; OUT=stop; valid=False; reason=low_confidence; conf=0.229
expected_fbcca,FBCCA candidate = expected 'forward',4.884963357,rosbag record time,FBCCA=forward; OUT=stop; valid=False; reason=low_confidence; conf=0.216
expected_valid,Valid output = expected 'forward',7.6521828,rosbag record time,FBCCA=forward; OUT=forward; valid=True; reason=fbcca; conf=0.267
cmd_vel,/turtle1/cmd_vel reflects 'forward',7.695935332,rosbag record time,linear.x=1.000; angular.z=0.000
pose,First /turtle1/pose after expected cmd_vel,7.706398488,rosbag record time,x=5.56; y=5.54; theta=0.00; v=1.000; w=0.000
