key,label,relative_seconds,source,detail
first_eeg,First /eeg/frame received (t=0),0.0,rosbag record time,sequence=0; sample_rate=250 Hz
first_command,First /ssvep/command after t=0,0.153012711,rosbag record time,FBCCA=--; OUT=stop; valid=False; reason=warming_up; conf=0.000
quality,First /eeg/quality,1.021843824,rosbag record time,level=good; valid=True
window_ready,4-second window ready (1000th EEG sample),4.07316461,rosbag record time,required=1000 samples at 250 Hz
first_fbcca,First FBCCA candidate,4.175463617,rosbag record time,FBCCA=left; OUT=stop; valid=False; reason=awaiting_confirmation; conf=0.248
expected_fbcca,FBCCA candidate = expected 'left',4.175463617,rosbag record time,FBCCA=left; OUT=stop; valid=False; reason=awaiting_confirmation; conf=0.248
expected_valid,Valid output = expected 'left',4.576421417,rosbag record time,FBCCA=left; OUT=left; valid=True; reason=fbcca; conf=0.276
cmd_vel,/turtle1/cmd_vel reflects 'left',4.589647516,rosbag record time,linear.x=0.000; angular.z=1.500
pose,First /turtle1/pose after expected cmd_vel,4.595474319,rosbag record time,x=5.54; y=5.54; theta=0.02; v=0.000; w=1.500
