key,label,relative_seconds,source,detail
first_eeg,First /eeg/frame received (t=0),0.0,rosbag record time,sequence=0; sample_rate=250 Hz
first_command,First /ssvep/command after t=0,0.294985506,rosbag record time,FBCCA=--; OUT=stop; valid=False; reason=warming_up; conf=0.000
quality,First /eeg/quality,1.019456294,rosbag record time,level=good; valid=True
window_ready,4-second window ready (1000th EEG sample),3.870199025,rosbag record time,required=1000 samples at 250 Hz
first_fbcca,First FBCCA candidate,3.920515789,rosbag record time,FBCCA=left; OUT=stop; valid=False; reason=awaiting_confirmation; conf=0.249
expected_fbcca,FBCCA candidate = expected 'left',3.920515789,rosbag record time,FBCCA=left; OUT=stop; valid=False; reason=awaiting_confirmation; conf=0.249
expected_valid,Valid output = expected 'left',4.31702103,rosbag record time,FBCCA=left; OUT=left; valid=True; reason=fbcca; conf=0.325
cmd_vel,/turtle1/cmd_vel reflects 'left',4.37581495,rosbag record time,linear.x=0.000; angular.z=1.500
pose,First /turtle1/pose after expected cmd_vel,4.37780653,rosbag record time,x=5.54; y=5.54; theta=0.02; v=0.000; w=1.500
