key,label,relative_seconds,source,detail
first_eeg,First /eeg/frame received (t=0),0.0,rosbag record time,sequence=0; sample_rate=250 Hz
first_command,First /ssvep/command after t=0,0.231710708,rosbag record time,FBCCA=--; OUT=stop; valid=False; reason=warming_up; conf=0.000
quality,First /eeg/quality,1.018858036,rosbag record time,level=good; valid=True
window_ready,4-second window ready (1000th EEG sample),4.069326466,rosbag record time,required=1000 samples at 250 Hz
first_fbcca,First FBCCA candidate,4.264369862,rosbag record time,FBCCA=forward; OUT=stop; valid=False; reason=awaiting_confirmation; conf=0.307
expected_fbcca,FBCCA candidate = expected 'forward',4.264369862,rosbag record time,FBCCA=forward; OUT=stop; valid=False; reason=awaiting_confirmation; conf=0.307
expected_valid,Valid output = expected 'forward',4.656074362,rosbag record time,FBCCA=forward; OUT=forward; valid=True; reason=fbcca; conf=0.287
cmd_vel,/turtle1/cmd_vel reflects 'forward',4.671864071,rosbag record time,linear.x=1.000; angular.z=0.000
pose,First /turtle1/pose after expected cmd_vel,4.676726737,rosbag record time,x=5.56; y=5.54; theta=0.00; v=1.000; w=0.000
