group,trial_count,channel,sample_count,sample_rate_hz,fft_resolution_hz,global_peak_frequency_hz,global_peak_period_ms,ssvep_peak_frequency_hz,ssvep_peak_period_ms,channel_peak_frequency_hz,channel_peak_period_ms,channel_peak_amplitude,channel_ssvep_peak_frequency_hz,channel_ssvep_peak_period_ms,channel_ssvep_peak_amplitude
single,5,0,4474,250.0,0.05587840858292356,0.5587840858292356,1789.6000000000001,6.090746535538667,164.18348623853214,0.5587840858292356,1789.6000000000001,0.5318769374283834,6.090746535538667,164.18348623853214,0.30609106169735933
single,5,1,4474,250.0,0.05587840858292356,0.5587840858292356,1789.6000000000001,6.090746535538667,164.18348623853214,0.5587840858292356,1789.6000000000001,0.8492008437348422,6.537773804202056,152.95726495726498,0.5968648592699478
single,5,2,4474,250.0,0.05587840858292356,0.5587840858292356,1789.6000000000001,6.090746535538667,164.18348623853214,0.5587840858292356,1789.6000000000001,1.6578394251157618,6.034868126955744,165.70370370370372,0.6556603582854194
single,5,3,4474,250.0,0.05587840858292356,0.5587840858292356,1789.6000000000001,6.090746535538667,164.18348623853214,0.5587840858292356,1789.6000000000001,0.8832522570699851,6.090746535538667,164.18348623853214,0.6582344589464578
single,5,4,4474,250.0,0.05587840858292356,0.5587840858292356,1789.6000000000001,6.090746535538667,164.18348623853214,0.502905677246312,1988.4444444444446,0.857841266970039,6.090746535538667,164.18348623853214,0.5667708247154605
single,5,5,4474,250.0,0.05587840858292356,0.5587840858292356,1789.6000000000001,6.090746535538667,164.18348623853214,0.5587840858292356,1789.6000000000001,1.0679374232905172,6.034868126955744,165.70370370370372,0.866569522062595
single,5,6,4474,250.0,0.05587840858292356,0.5587840858292356,1789.6000000000001,6.090746535538667,164.18348623853214,0.5587840858292356,1789.6000000000001,1.0844419944480146,6.090746535538667,164.18348623853214,0.7046688744333776
single,5,7,4474,250.0,0.05587840858292356,0.5587840858292356,1789.6000000000001,6.090746535538667,164.18348623853214,0.5587840858292356,1789.6000000000001,0.8054028338898126,6.034868126955744,165.70370370370372,0.6364868375885689
all,5,0,4262,250.0,0.05865790708587518,0.5279211637728766,1894.2222222222222,6.335053965274518,157.85185185185188,0.5865790708587517,1704.8000000000002,0.7360591605116931,8.094791177850773,123.53623188405798,0.37816490311425494
all,5,1,4262,250.0,0.05865790708587518,0.5279211637728766,1894.2222222222222,6.335053965274518,157.85185185185188,0.8798686062881276,1136.5333333333335,0.8692297777734854,6.862975129047395,145.70940170940173,0.7440905734165649
all,5,2,4262,250.0,0.05865790708587518,0.5279211637728766,1894.2222222222222,6.335053965274518,157.85185185185188,0.5279211637728766,1894.2222222222222,3.0328980082529755,6.862975129047395,145.70940170940173,0.949874959371217
all,5,3,4262,250.0,0.05865790708587518,0.5279211637728766,1894.2222222222222,6.335053965274518,157.85185185185188,0.5279211637728766,1894.2222222222222,1.8172506578039338,6.335053965274518,157.85185185185188,0.7206826506753581
all,5,4,4262,250.0,0.05865790708587518,0.5279211637728766,1894.2222222222222,6.335053965274518,157.85185185185188,0.5279211637728766,1894.2222222222222,1.700537732733491,6.335053965274518,157.85185185185188,0.6376808188870948
all,5,5,4262,250.0,0.05865790708587518,0.5279211637728766,1894.2222222222222,6.335053965274518,157.85185185185188,0.703894885030502,1420.666666666667,1.0212336910062327,6.393711872360393,156.40366972477065,0.9673649423541055
all,5,6,4262,250.0,0.05865790708587518,0.5279211637728766,1894.2222222222222,6.335053965274518,157.85185185185188,0.6452369779446269,1549.818181818182,1.1161095790661684,6.393711872360393,156.40366972477065,0.7963170058976415
all,5,7,4262,250.0,0.05865790708587518,0.5279211637728766,1894.2222222222222,6.335053965274518,157.85185185185188,0.5865790708587517,1704.8000000000002,0.9219557286322726,6.862975129047395,145.70940170940173,0.7103608342344127
