key,label,relative_seconds,source,detail
first_eeg,First /eeg/frame received (t=0),0.0,rosbag record time,sequence=0; sample_rate=250 Hz
first_command,First /ssvep/command after t=0,0.365135205,rosbag record time,FBCCA=--; OUT=stop; valid=False; reason=warming_up; conf=0.000
quality,First /eeg/quality,1.012044556,rosbag record time,level=good; valid=True
window_ready,4-second window ready (1000th EEG sample),4.06106494,rosbag record time,required=1000 samples at 250 Hz
first_fbcca,First FBCCA candidate,4.386343652,rosbag record time,FBCCA=forward; OUT=stop; valid=False; reason=awaiting_confirmation; conf=0.240
expected_fbcca,FBCCA candidate = expected 'forward',4.386343652,rosbag record time,FBCCA=forward; OUT=stop; valid=False; reason=awaiting_confirmation; conf=0.240
expected_valid,Valid output = expected 'forward',5.986274641,rosbag record time,FBCCA=forward; OUT=forward; valid=True; reason=fbcca; conf=0.269
cmd_vel,/turtle1/cmd_vel reflects 'forward',6.036608492,rosbag record time,linear.x=1.000; angular.z=0.000
pose,First /turtle1/pose after expected cmd_vel,6.040653763,rosbag record time,x=5.56; y=5.54; theta=0.00; v=1.000; w=0.000
